20.46105,2387,209.8190279,0,,,,
,,,,,,,
20.46105,2387,209.8190279,0,,,,
,,,,,,,
19.90158,2389,209.9948294,0,,,,
,,,,,,,
20.46105,2392,210.2585315,0,,,,1.346957866
,,,,,,,-1.296642716
20.46105,2396,210.6101344,0,,,,
,,,,,,,
20.46105,2401,211.0496381,0.5303995,,,,
,,,,,,,
20.46105,2406,211.4891417,nan,,,,
,,,,,,,
20.46105,2411,211.9286453,nan,,,,
,,,,,,,
20.67737,2417,212.4560496,0.153809882,,,,
,,,,,,,
20.46105,2421,212.8076525,nan,,,,
,,,,,,,
20.46105,2427,213.3350569,nan,,,,
,,,,,,,
20.67737,2432,213.7745605,nan,,,,
,,,,,,,
20.67737,2437,214.2140641,0.153809882,,,,
,,,,,,,
20.67737,2441,214.565667,nan,,,,
,,,,,,,
20.46105,2446,215.0051706,nan,,,,
,,,,,,,
20.67737,2452,215.532575,nan,,,,
,,,,,,,
20.67737,2456,215.8841779,nan,,,,
,,,,,,,
20.46105,2465,216.6752844,nan,,,,
,,,,,,,
20.46105,2468,216.9389866,nan,,,,
,,,,,,,
20.46105,2473,217.3784902,nan,,,,
,,,,,,,
20.46105,2477,217.7300931,nan,,,,
,,,,,,,
20.46105,2482,218.1695967,nan,,,,
,,,,,,,
20.67737,2487,218.6091003,nan,,,,
,,,,,,,
19.90158,2491,218.9607032,nan,,,,
,,,,,,,
20.46105,2496,219.4002068,nan,,,,
,,,,,,,
20.46105,2501,219.8397104,nan,,,,
,,,,,,,
20.67737,2506,220.2792141,0.588383475,,,,
,,,,,,,
20.46105,2512,220.8066184,nan,,,,
,,,,,,,
20.46105,2517,221.246122,nan,,,,
,,,,,,,
20.46105,2522,221.6856256,nan,,,,
,,,,,,,
20.46105,2527,222.1251293,nan,,,,
,,,,,,,
19.90158,2532,222.5646329,-0.4243196,,,,
,,,,,,,
20.46105,2537,223.0041365,nan,,,,
,,,,,,,
20.67737,2542,223.4436401,nan,,,,
,,,,,,,
20.46105,2547,223.8831437,nan,,,,
,,,,,,,
