impedance,present_position,angle
19.6492,3607,317.0579
19.1962,3612,317.4974
19.8775,3617,317.9369
19.1962,3622,318.3764
19.6492,3627,318.8159
19.1962,3632,319.2554
19.4089,3637,319.6949
19.6492,3642,320.1344
19.6492,3647,320.5739
19.6492,3652,321.0134
19.6492,3656,321.365
19.6492,3662,321.8925
19.1962,3667,322.332
19.1962,3672,322.7715
19.1962,3676,323.1231
19.6492,3682,323.6505
19.6492,3687,324.09
19.6492,3692,324.5295
19.8775,3697,324.969
19.1962,3702,325.4085
19.8775,3707,325.848
19.1962,3712,326.2875
19.4089,3717,326.727
19.6492,3721,327.0786
19.1962,3722,327.1665
19.6492,3720,326.9907
19.6492,3717,326.727
19.6492,3713,326.3754
19.6492,3708,325.9359
19.8775,3703,325.4964
19.6492,3698,325.0569
19.6492,3694,324.7053
19.6492,3689,324.2658
19.6492,3684,323.8263
19.4089,3679,323.3868
19.6492,3673,322.8594
19.6492,3669,322.5078
19.6492,3663,321.9804
19.6492,3659,321.6287
19.6492,3654,321.1892
19.8775,3648,320.6618
19.6492,3643,320.2223
19.6492,3639,319.8707
19.6492,3634,319.4312
19.8775,3629,318.9917
19.6492,3624,318.5522
19.6492,3619,318.1127
19.6492,3614,317.6732
19.6492,3609,317.2337
19.6492,3604,316.7942
19.6492,3598,316.2668
19.6492,3594,315.9152
19.6492,3589,315.4757
19.6492,3583,314.9483
19.6492,3579,314.5967
19.8775,3574,314.1572
19.1962,3569,313.7177
19.6492,3564,313.2782
19.6492,3559,312.8387
19.6492,3554,312.3992
19.6492,3549,311.9597
19.6492,3543,311.4323
19.8775,3538,310.9928
19.6492,3534,310.6412
19.6492,3529,310.2017
19.6492,3524,309.7622
19.8775,3519,309.3226
19.1962,3514,308.8831
19.6492,3509,308.4436
19.6492,3504,308.0041
19.6492,3499,307.5646
19.6492,3494,307.1251
19.6492,3489,306.6856
19.6492,3484,306.2461
19.6492,3479,305.8066
19.6492,3474,305.3671
19.6492,3469,304.9276
19.6492,3464,304.4881
19.6492,3459,304.0486
19.8775,3454,303.6091
19.6492,3449,303.1696
19.6492,3444,302.7301
19.6492,3439,302.2906
20.1212,3434,301.8511
19.8775,3428,301.3237
19.6492,3423,300.8842
19.6492,3419,300.5326
19.6492,3414,300.0931
19.6492,3409,299.6536
19.8775,3403,299.1262
19.6492,3398,298.6867
19.6492,3393,298.2472
19.6492,3389,297.8956
19.6492,3384,297.456
20.1212,3379,297.0165
20.3665,3374,296.577
20.1212,3369,296.1375
19.6492,3364,295.698
19.6492,3359,295.2585
19.6492,3354,294.819
19.6492,3348,294.2916
19.6492,3343,293.8521
19.6492,3339,293.5005
19.6492,3334,293.061
19.6492,3329,292.6215
19.6492,3324,292.182
19.6492,3319,291.7425
19.6492,3314,291.303
19.8775,3309,290.8635
19.6492,3304,290.424
20.1212,3299,289.9845
19.6492,3293,289.4571
19.6492,3288,289.0176
20.1212,3284,288.666
19.6492,3278,288.1386
19.6492,3274,287.787
19.6492,3269,287.3475
19.6492,3263,286.8201
19.6492,3258,286.3806
20.1212,3254,286.029
20.3665,3249,285.5895
19.6492,3243,285.062
20.3665,3238,284.6225
19.6492,3233,284.183
19.6492,3229,283.8314
