angle,predicted_impedance,impedance
209.7311271975182,20,15.99644
209.99482936918312,15.995606240583918,15.99644
210.3464322647364,15.995239950630996,15.99644
211.22543950361953,15.993017761459434,15.713
211.5770423991728,15.71147045098886,15.99644
212.01654601861435,15.994405762981494,15.99644
212.45604963805593,15.994275307552805,nan
212.8955532574975,nan,nan
213.24715615305075,nan,nan
214.21406411582223,nan,21.01064
214.6535677352638,21.0079064749057,nan
215.09307135470536,nan,nan
215.53257497414694,nan,20.1953
215.97207859358852,20.192287923611982,21.01064
216.41158221303007,21.007544877578912,nan
216.85108583247165,nan,nan
217.29058945191323,nan,20.1953
217.7300930713548,20.19198366733499,nan
218.16959669079637,nan,nan
218.60910031023795,nan,nan
219.31230610134446,nan,21.01064
219.5760082730094,21.008498110627702,20.1953
220.01551189245097,20.19169272574302,nan
220.36711478800424,nan,nan
220.8066184074458,nan,nan
221.24612202688738,nan,20.1953
221.68562564632896,20.191547448950043,nan
222.1251292657705,nan,nan
222.5646328852121,nan,nan
223.00413650465367,nan,20.1953
223.61944157187187,20.189904458413277,nan
223.8831437435368,nan,nan
224.3226473629784,nan,nan
224.76215098241994,nan,20.1953
225.20165460186152,20.191401952128697,19.43612
225.7290589451914,19.43143644661522,nan
226.168562564633,nan,19.864060000000002
226.60806618407454,19.860156515399247,nan
227.04756980351613,nan,20.1953
227.4870734229577,20.19140644754955,19.43612
227.83867631851095,19.43301120576727,nan
228.27817993795253,nan,nan
228.7176835573941,nan,nan
229.15718717683566,nan,19.43612
229.59669079627724,19.432287644603814,nan
230.21199586349545,nan,nan
230.47569803516038,nan,nan
231.00310237849027,nan,19.43612
231.35470527404354,19.433125140640453,nan
231.7942088934851,nan,19.14032
232.23371251292667,19.136627461254218,nan
232.67321613236825,nan,19.43612
233.11271975180983,19.432487142254143,nan
233.6401240951397,nan,nan
233.99172699069297,nan,nan
234.43123061013455,nan,19.43612
234.8707342295761,19.43262270982397,19.14032
235.31023784901768,19.136859581745423,nan
235.74974146845926,nan,nan
236.18924508790082,nan,19.43612
236.6287487073424,19.43277630099173,nan
237.06825232678398,nan,nan
237.50775594622553,nan,19.14032
237.9472595656671,19.137100853986365,nan
238.3867631851087,nan,19.43612
238.82626680455024,19.43298743082998,nan
239.1778697001035,nan,nan
239.7052740434334,nan,19.14032
240.144777662875,19.137321444692954,nan
240.58428128231654,nan,19.43612
241.02378490175812,19.433212901863538,nan
241.4632885211997,nan,19.14032
241.99069286452956,19.13694825125449,nan
242.34229576008283,nan,19.43612
242.78179937952441,19.433398975932544,nan
243.22130299896597,nan,nan
243.66080661840755,nan,nan
244.10031023784913,nan,19.14032
244.53981385729068,19.137786589945815,19.43612
244.97931747673226,19.433633377740005,nan
245.41882109617384,nan,nan
245.85832471561542,nan,nan
246.29782833505698,nan,19.14032
246.73733195449856,19.138018733271817,nan
247.17683557394014,nan,19.43612
247.6163391933817,19.433909748204922,nan
248.05584281282327,nan,19.14032
248.49534643226485,19.13819923129679,nan
248.9348500517064,nan,19.43612
249.374353671148,19.434086884060928,nan
249.81385729058957,nan,nan
250.25336091003112,nan,19.14032
250.6928645294727,19.138414315750676,18.72802
251.13236814891428,18.72615558054416,nan
251.57187176835583,nan,19.43612
252.01137538779741,19.434336103188155,19.14032
252.450879007239,19.138575301594553,nan
252.89038262668058,nan,nan
253.32988624612213,nan,19.43612
253.7693898655637,19.43448830843219,nan
254.2088934850053,nan,nan
254.64839710444684,nan,nan
255.08790072388842,nan,19.43612
255.52740434333,19.434627318931728,18.72802
255.96690796277156,18.72655983144169,19.14032
256.40641158221314,19.138891405068218,nan
256.8459152016547,nan,nan
257.2854188210963,nan,19.43612
