angle,impedance,predicted_impedance,difference,,,,,
317.3216132,21.45975,20.01175399,1.447996014,,0.067474971,,Error Rate,5.36%
296.3133402,19.80963,19.57360414,0.236025858,,0.011914703,,Accuracy,94.64%
300.8841779,18.78102,19.67240767,0.891387674,,0.04531157,,,
328.6608066,17.84471,20.04332414,2.198614137,,0.109693089,,,
279.1726991,19.71351,19.29232925,0.421180751,,0.021365082,,,
279.2605998,19.05009,19.29337344,0.243283441,,0.012609689,,,
222.1251293,18.91438,18.66375366,0.250626338,,0.013250571,,,
216.9389866,19.80963,18.60203362,1.207596379,,0.060960067,,,
271.876939,16.72126,19.21718727,2.495927267,,0.129879947,,,
268.0093071,18.78102,19.18450199,0.403481994,,0.021031664,,,
294.9069286,18.78102,19.54477027,0.763750271,,0.039076963,,,
238.9141675,19.81387,18.91214011,0.901729893,,0.045510034,,,
235.8376422,19.46696,18.86915535,0.597804654,,0.03070868,,,
226.2564633,19.80963,18.72391192,1.085718079,,0.05480759,,,
275.7445708,18.4163,19.25436574,0.838065743,,0.043526011,,,
290.4239917,19.80963,19.45919586,0.350434145,,0.01769009,,,
300.1809721,16.20573,19.65679811,3.451068112,,0.175566137,,,
228.0144778,19.80963,18.75079992,1.05883008,,0.05345027,,,
231.9700103,19.387,18.81163394,0.575366062,,0.029677932,,,
321.8924509,22.37649,20.06084354,2.315646465,,0.103485688,,,
285.1499483,20.18627,19.37235834,0.813911664,,0.040320062,,,
210.1706308,18.22524,18.56935446,0.344114463,,0.01853131,,,
260.3619442,19.436,19.12618756,0.309812438,,0.015940134,,,
224.762151,19.61471,18.70149924,0.913210759,,0.046557444,,,
276.2719752,20.60583,19.25987246,1.345957537,,0.065319259,,,
221.0703206,16.47204,18.64958993,2.177549929,,0.116761277,,,
242.6059979,19.80963,18.95955037,0.85007963,,0.042912444,,,
284.2709411,18.4163,19.35939191,0.943091906,,0.048714955,,,
270.3826267,20.867,19.20411894,1.662881059,,0.079689513,,,
281.4581179,19.436,19.32072063,0.115279373,,0.005931229,,,
284.9741468,20.18627,19.36973086,0.816539137,,0.040450224,,,
323.123061,21.84212,20.06693384,1.775186161,,0.081273528,,,
273.3712513,19.81387,19.23092845,0.582941552,,0.029420883,,,
276.2719752,20.03566,19.25987246,0.775787537,,0.038720339,,,
316.0910031,21.45975,19.99281843,1.466931573,,0.068357347,,,
284.3588418,19.436,19.36066936,0.075330636,,0.00387583,,,
261.3288521,19.22978,19.13345747,0.096322529,,0.005009029,,,
285.1499483,20.18627,19.37235834,0.813911664,,0.040320062,,,
275.3050672,20.18627,19.24986318,0.936406823,,0.046388304,,,
303.3453981,17.84471,19.72774983,1.883039825,,0.095451323,,,
313.4539814,20.18627,19.94623453,0.240035474,,0.011891027,,,
282.6008273,16.47204,19.33592025,2.863880247,,0.148111919,,,
278.2936918,18.78102,19.28208945,0.501069449,,0.025986263,,,
327.6938987,19.31413,20.05437043,0.740240432,,0.036911676,,,
228.0144778,18.64168,18.75079992,0.10911992,,0.005819481,,,
260.8014478,18.13675,19.12949711,0.992747107,,0.051896142,,,
302.2026887,16.96081,19.70194746,2.741137463,,0.13913028,,,
245.770424,19.436,18.99625155,0.439748454,,0.022625461,,,
307.4767322,20.60583,19.82099005,0.78483995,,0.038088247,,,
302.8179938,20.88521,19.71582421,1.169385794,,0.055991096,,,
315.2998966,20.98705,19.97963493,1.00741507,,0.048001747,,,
255.6153051,16.72126,19.08921263,2.367952628,,0.124046637,,,
240.0568769,18.91438,18.92732867,0.012948671,,0.000684126,,,
221.246122,17.78307,18.65190505,0.868835048,,0.046581571,,,
275.7445708,18.5832,19.25436574,0.671165743,,0.034857847,,,
269.5915202,17.26683,19.19743922,1.930609221,,0.100565976,,,
226.5201655,19.81387,18.72791739,1.085952607,,0.054807698,,,
225.1137539,18.91438,18.70672224,0.207657758,,0.01097883,,,
317.6732161,19.46696,20.01678038,0.549820383,,0.027467973,,,
300.7083764,19.436,19.66849457,0.232494569,,0.011820659,,,
276.975181,20.18627,19.26739643,0.918873573,,0.045519731,,,
296.2254395,20.60583,19.57177712,1.03405288,,0.05018254,,,
232.3216132,18.73257,18.81698128,0.08441128,,0.00448591,,,
249.0227508,19.80963,19.03023668,0.779393322,,0.039344164,,,
277.5025853,16.20573,19.27318008,3.067450075,,0.159156406,,,
283.5677353,20.88521,19.34932463,1.535885372,,0.073539379,,,
270.6463289,16.47204,19.20638054,2.734340539,,0.142366259,,,
258.516029,16.47204,19.11213581,2.640095806,,0.138137141,,,
247.0010341,18.78102,19.00954321,0.228523212,,0.012021499,,,
289.8086867,21.35562,19.44826992,1.907350076,,0.08931373,,,
270.8221303,17.53099,19.20789848,1.67690848,,0.087303069,,,
323.2109617,20.88521,20.06723254,0.817977462,,0.039165393,,,
273.0196484,16.47204,19.22762962,2.755589617,,0.143314058,,,
312.4870734,20.50584,19.92747884,0.578361161,,0.028204705,,,
292.3578077,18.78102,19.49485597,0.713835975,,0.036616632,,,
291.3908997,17.84471,19.47677846,1.632068464,,0.083795607,,,
224.1468459,19.9708,18.69245006,1.278349945,,0.064010953,,,
250.3412616,19.436,19.04300678,0.392993219,,0.020219861,,,
247.0889349,19.80963,19.0104721,0.799157898,,0.040341889,,,
312.1354705,20.14427,19.92047424,0.223795758,,0.011109648,,,
272.3164426,16.72126,19.22115462,2.499894623,,0.130059545,,,
213.4229576,18.38633,18.57605617,0.189726165,,0.010213479,,,
300.2688728,17.26683,19.65874285,2.39191285,,0.12167171,,,
318.5522234,21.35562,20.02853264,1.327087358,,0.062142301,,,
303.5211996,20.95755,19.7317297,1.225820301,,0.05849063,,,
265.2843847,18.13675,19.16322853,1.026478532,,0.05356501,,,
210.5222337,19.06639,18.56910743,0.49728257,,0.026081632,,,
311.2564633,19.46696,19.90257939,0.43561939,,0.021887585,,,
210.6101344,16.47204,18.56908548,2.097045479,,0.112932082,,,
270.8221303,20.46177,19.20789848,1.25387152,,0.061278742,,,
262.8231644,19.80963,19.14465114,0.664978856,,0.033568464,,,
264.8448811,19.81387,19.15988175,0.653988251,,0.033006588,,,
253.1540848,19.75492,19.06852479,0.686395214,,0.034745532,,,
224.6742503,18.22524,18.70019913,0.474959134,,0.025398614,,,
304.7518097,19.9708,19.75961643,0.21118357,,0.010574617,,,
284.8862461,19.09196,19.36842355,0.276463551,,0.014273931,,,
300.532575,17.84471,19.66458842,1.819878417,,0.09254597,,,
299.7414685,20.46177,19.64710434,0.814665658,,0.039814037,,,
255.4395036,19.80963,19.08777792,0.721852084,,0.036439453,,,
246.5615305,18.78102,19.00485799,0.223837995,,0.011777936,,,
324.9689762,20.84135,20.0690631,0.772286903,,0.037055512,,,
299.2140641,20.46177,19.63554205,0.826227954,,0.040379105,,,
328.5729059,21.45975,20.04446528,1.415284723,,0.065950662,,,
288.4022751,20.60583,19.42407794,1.181752064,,0.057350374,,,
229.3329886,18.5832,18.77112891,0.187928911,,0.010011593,,,
255.5274043,19.46696,19.08849602,0.378463978,,0.01944135,,,
321.1892451,20.50584,20.05585034,0.449989662,,0.021944464,,,
241.1995863,19.06639,18.94206188,0.124328123,,0.0065208,,,
285.1499483,19.75492,19.37235834,0.382561664,,0.019365387,,,
300.0051706,21.37602,19.65291452,1.723105483,,0.080609275,,,
226.7838676,19.436,18.73193458,0.704065421,,0.036224811,,,
211.401241,18.73257,18.56958026,0.162989743,,0.008700875,,,
258.8676319,19.80963,19.11483627,0.694793726,,0.035073534,,,
305.7187177,20.98705,19.78150132,1.205548683,,0.057442503,,,
318.5522234,17.84471,20.02853264,2.183822641,,0.109035578,,,
239.6173733,18.78102,18.92153988,0.140519876,,0.00742645,,,
294.467425,16.20573,19.53594112,3.330211124,,0.170465866,,,
313.4539814,20.50584,19.94623453,0.559605474,,0.027290054,,,
210.0827301,18.0725,18.56945661,0.496956614,,0.026762044,,,
306.246122,19.436,19.79340189,0.357401892,,0.018056618,,,
284.3588418,20.867,19.36066936,1.506330636,,0.072187216,,,
286.9958635,19.65169,19.40098669,0.25070331,,0.012757341,,,
241.63909,19.28102,18.94760419,0.333415809,,0.017292436,,,
245.3309204,17.84471,18.99137294,1.14666294,,0.060378096,,,
306.0703206,17.26683,19.78943898,2.522608977,,0.127472486,,,
287.3474664,18.13675,19.40665578,1.269905779,,0.065436611,,,
263.1747673,19.09196,19.1472871,0.055327104,,0.002889553,,,
297.1044467,18.4573,19.59018848,1.132888479,,0.057829381,,,
246.1220269,19.65169,19.00010428,0.651585719,,0.033156727,,,
316.7063082,21.80979,20.00253829,1.807251709,,0.082864242,,,
230.2998966,20.18627,18.78603682,1.400233178,,0.069365622,,,
214.1261634,16.72126,18.57988809,1.858628085,,0.100034407,,,
272.2285419,19.46696,19.22035637,0.246603625,,0.012667804,,,
241.2874871,17.26683,18.94317591,1.676345914,,0.088493393,,,
222.6525336,19.46696,18.67106246,0.795897542,,0.040884532,,,
306.9493278,19.46696,19.80920375,0.342243754,,0.017277007,,,
