angle,impedance,predicted_impedance,difference,Difference sq.,,
210.3464323,225.5642,173.3985236,52.16567644,2721.257798,,
211.3133402,240.93568,182.1069928,58.82868719,3460.814436,,
213.1592554,225.5642,197.4188469,28.14535311,792.1609017,,
217.6421923,211.69764,227.812736,16.11509601,259.6963194,,
221.6856256,225.5642,247.6382769,22.07407691,487.2648714,,
221.7735264,211.69764,247.9951492,36.29750918,1317.509173,,
223.0041365,216.22615,252.6763635,36.45021352,1328.618066,,
233.2885212,252.18848,271.3622474,19.17376736,367.6333548,,
234.1675284,225.5642,271.4921032,45.92790316,2109.372289,,
238.0351603,252.18848,269.8314384,17.64295844,311.2739825,,
239.7931748,240.93568,267.9937363,27.05805629,732.1384102,,
240.2326784,225.5642,267.4394525,41.87525252,1753.536774,,
241.8148914,225.5642,265.1523357,39.58813575,1567.220492,,
244.8914168,252.18848,259.5340071,7.345527131,53.95676883,,
245.0672182,225.5642,259.1713783,33.60717834,1129.442436,,
246.0341262,252.18848,257.1052318,4.916751809,24.17444835,,
248.319545,252.18848,251.7867184,0.401761627,0.161412405,,
249.6380558,225.5642,248.4806957,22.91649567,525.1657738,,
250.2533609,225.5642,246.8877084,21.32350845,454.6920126,,
252.5387797,225.5642,240.7433402,15.17914021,230.4062975,,
253.2419855,240.93568,238.7947051,2.140974924,4.583773625,,
253.417787,225.5642,238.304186,12.73998603,162.307244,,
256.6701138,234.71715,229.0727791,5.644370913,31.858923,,
257.2854188,252.18848,227.3107147,24.8777653,618.9032063,,
259.0434333,252.18848,222.2925577,29.89592229,893.7661696,,
259.4829369,234.71715,221.0468448,13.67030516,186.8772432,,
259.6587384,240.93568,220.5500253,20.38565469,415.5749171,,
263.7900724,225.5642,209.2729004,16.29129964,265.406444,,
264.229576,234.71715,208.1358795,26.5812705,706.5639414,,
264.7569804,240.93568,206.7921966,34.14348344,1165.777461,,
268.36091,225.5642,198.3424861,27.22171392,741.0217087,,
270.0310238,240.93568,194.9548768,45.98080324,2114.234267,,
273.0196484,240.93568,189.9414802,50.99419979,2600.408412,,
274.5139607,252.18848,188.0159392,64.17254084,4118.114998,,
276.3598759,225.5642,186.244775,39.31942498,1546.017181,,
276.5356774,240.93568,186.1134314,54.82224863,3005.478945,,
276.975181,240.93568,185.8147195,55.12096049,3038.320285,,
278.8210962,240.93568,185.0419265,55.89375351,3124.111681,,
280.6670114,240.93568,185.0997573,55.83592273,3117.650267,,
286.2926577,252.18848,191.1271457,61.06133427,3728.486543,,
286.9079628,211.69764,192.378681,19.31895897,373.2221757,,
290.1602896,240.93568,201.1560561,39.77962387,1582.418475,,
292.5336091,240.93568,210.0109893,30.92469071,956.3364955,,
293.3247156,225.5642,213.4518364,12.11236359,146.7093517,,
295.434333,240.93568,223.883253,17.052427,290.7852666,,
295.5222337,225.5642,224.3586093,1.20559073,1.453449008,,
296.6649431,252.18848,230.8433723,21.34510766,455.613621,,
297.1923475,240.93568,234.0303441,6.905335854,47.68366326,,
297.2802482,252.18848,234.5735952,17.61488482,310.2841672,,
298.598759,234.71715,243.1435179,8.426367928,71.00367646,,
300.532575,225.5642,257.1802101,31.61601013,999.5720965,,
302.0268873,234.71715,269.2671951,34.55004514,1193.705619,,
302.4663909,252.18848,273.0341075,20.84562746,434.5401842,,
310.0258532,252.18848,353.969019,101.780539,10359.27812,,
,,,,,,
,,,,,,
,,,,,MAE ,29.76489921
,,,,,MSE,1267.306778
angle,impedance,predicted_impedance,difference
221.6856256,225.5642,247.6382769112788,22.07407691127881
298.598759,234.71715,243.14351792807793,8.426367928077923
286.9079628,211.69764,192.37868102815628,19.318958971843728
253.2419855,240.93568,238.7947050756302,2.1409749243698
278.8210962,240.93568,185.04192648667595,55.89375351332404
210.3464323,225.5642,173.39852355755647,52.16567644244353
300.532575,225.5642,257.1802101300964,31.616010130096385
292.5336091,240.93568,210.01098929484942,30.924690705150567
295.434333,240.93568,223.88325299606004,17.052427003939954
263.7900724,225.5642,209.2729003631648,16.29129963683519
297.1923475,240.93568,234.0303441459946,6.905335854005386
259.4829369,234.71715,221.0468448445863,13.6703051554137
286.2926577,252.18848,191.1271457301591,61.0613342698409
256.6701138,234.71715,229.07277908676406,5.644370913235946
234.1675284,225.5642,271.4921031622471,45.92790316224708
315.1240951,240.93568,427.35325546632157,186.41757546632158
217.6421923,211.69764,227.81273600519853,16.115096005198524
321.0134436,257.94192,533.2077361249212,275.26581612492123
276.3598759,225.5642,186.2447750210522,39.31942497894781
274.5139607,252.18848,188.01593915983904,64.17254084016096
241.8148914,225.5642,265.1523357488586,39.588135748858605
213.1592554,225.5642,197.41884689384824,28.14535310615176
270.0310238,240.93568,194.95487676461562,45.98080323538437
246.0341262,252.18848,257.1052318091497,4.916751809149702
273.0196484,240.93568,189.9414802084466,50.9941997915534
259.6587384,240.93568,220.55002531056743,20.385654689432556
264.7569804,240.93568,206.7921965577516,34.143483442248396
280.6670114,240.93568,185.0997572727756,55.835922727224386
324.2657704,225.5642,602.1385814793139,376.57438147931384
276.975181,240.93568,185.81471950918421,55.120960490815776
310.0258532,252.18848,353.96901903475737,101.78053903475737
249.6380558,225.5642,248.48069566583945,22.91649566583945
233.2885212,252.18848,271.3622473555697,19.17376735556971
264.229576,234.71715,208.135879502046,26.581270497953994
211.3133402,240.93568,182.10699281396592,58.828687186034074
328.5729059,229.65264,705.709488102726,476.056848102726
316.1789038,252.18848,444.5924697212431,192.4039897212431
296.6649431,252.18848,230.84337233630868,21.345107663691323
244.8914168,252.18848,259.5340071303908,7.3455271303908205
252.5387797,225.5642,240.74334021380855,15.179140213808552
316.2668046,257.94192,446.062060673863,188.12014067386303
239.7931748,240.93568,267.99373628817193,27.05805628817194
322.3319545,240.93568,560.2202814581651,319.2846014581651
259.0434333,252.18848,222.29255770668897,29.89592229331103
290.1602896,240.93568,201.1560561322076,39.779623867792395
257.2854188,252.18848,227.31071469715607,24.877765302843926
276.5356774,240.93568,186.11343137318545,54.82224862681454
321.1892451,225.5642,536.7370974227633,311.1728974227633
240.2326784,225.5642,267.4394525183852,41.875252518385224
250.2533609,225.5642,246.88770844693863,21.323508446938632
245.0672182,225.5642,259.1713783420382,33.607178342038225
318.5522234,271.89521,486.0873367657441,214.1921267657441
326.9906929,252.18848,665.9885185991261,413.8000385991261
319.5191313,240.93568,504.09346659341463,263.15778659341464
302.4663909,252.18848,273.03410746442023,20.845627464420232
327.3422958,252.18848,674.6448747672512,422.45639476725114
221.7735264,211.69764,247.99514917665147,36.29750917665146
223.0041365,216.22615,252.67636351710462,36.45021351710463
302.0268873,234.71715,269.2671951438788,34.550045143878776
295.5222337,225.5642,224.3586092702135,1.2055907297865076
293.3247156,225.5642,213.4518364119249,12.112363588075112
248.319545,252.18848,251.786718372412,0.4017616275880016
253.417787,225.5642,238.30418603036014,12.739986030360143
316.2668046,271.89521,446.062060673863,174.166850673863
238.0351603,252.18848,269.83143843487414,17.642958434874146
