angle,predicted_impedance,impedance
209.9069286452948,20,20.00248
209.99482936918312,20.025635228431277,20.52686
210.4343329886247,20.639357365491435,20.00248
210.87383660806628,20.1096297815974,20.00248
211.31334022750784,20.10443957487667,20.00248
211.92864529472604,20.136797713092967,20.00248
212.36814891416762,20.092608669378826,20.52686
212.7197518097209,20.5955894264153,nan
213.15925542916244,nan,nan
213.5108583247157,nan,20.00248
214.38986556359885,20.146255009815725,20.32845
214.91726990692874,20.406909755957738,nan
215.35677352637032,nan,nan
215.70837642192356,nan,nan
216.23578076525345,nan,20.32845
216.67528438469503,20.37873050882538,nan
217.11478800413659,nan,nan
217.55429162357817,nan,20.86139
217.99379524301975,20.901937847545895,20.32845
218.43329886246133,20.939475338678648,nan
218.87280248190288,20.974115379152835,nan
219.31230610134446,21.005968492423534,nan
219.83971044467435,21.04066561392753,20.32845
220.36711478800424,21.071687659999924,nan
220.8066184074458,21.0948603429442,nan
221.24612202688738,21.11570466697046,nan
221.68562564632896,21.134318677366508,20.32845
222.0372285418822,21.14766851620695,nan
222.47673216132378,21.16250790275987,nan
222.91623578076536,21.175379660899097,nan
223.44364012409523,21.188354583277004,20.32845
223.7952430196485,21.195576757008865,nan
224.23474663909008,21.20307496390157,nan
224.76215098241994,21.209939155132787,nan
225.20165460186152,21.213976265071295,19.81928
225.6411582213031,21.216567382141847,nan
226.08066184074468,21.217789164102186,nan
226.52016546018623,21.217716252767758,20.32845
226.8717683557395,21.21677463064404,19.81928
227.3991726990694,21.21397497232644,nan
227.83867631851095,21.21044600849561,nan
228.19027921406422,21.20688829176467,nan
228.6297828335058,21.2015776364278,19.58955
229.15718717683566,21.194021797231443,19.81928
229.59669079627724,21.186811361327244,nan
230.03619441571882,21.17883347559652,nan
230.47569803516038,21.17014564420421,nan
230.91520165460196,21.16080357873031,19.33253
231.26680455015523,21.15289518536335,nan
231.70630816959678,21.142510255714996,nan
232.14581178903836,21.13161773855424,nan
232.58531540847994,21.12026673775287,19.33253
232.93691830403318,21.1108877502447,nan
233.37642192347477,21.098829855485718,18.86694
233.81592554291635,21.08644207357608,nan
234.1675284384696,21.07632315738735,19.33253
234.60703205791117,21.06344840546987,nan
235.04653567735275,21.05035964076521,18.66844
235.4860392967943,21.03709525721021,nan
235.83764219234757,21.02638212316012,18.86694
236.27714581178913,21.012893483846682,nan
236.6287487073424,21.00204610064972,19.33253
236.98035160289567,20.991166762265465,19.119130000000002
237.3319544984489,20.980271672846328,nan
237.7714581178905,20.96665439325622,19.81928
238.12306101344373,20.95578006787943,19.33253
238.65046535677362,20.939534544440875,nan
239.0899689762152,20.926086238634497,nan
239.35367114788014,20.918067696511542,19.81928
239.79317476732172,20.90480418255717,nan
240.144777662875,20.894297213160797,nan
240.58428128231654,20.88131161504313,nan
241.02378490175812,20.868509801326553,19.81928
241.37538779731136,20.858413749223445,nan
241.81489141675294,20.8459907891083,nan
242.25439503619452,20.833802820554382,nan
242.6938986556361,20.821865838102866,19.81928
243.04550155118935,20.81250696208005,nan
243.48500517063093,20.801058335900933,nan
244.01240951396082,20.78770331524717,nan
244.45191313340237,20.776907128760257,19.81928
244.89141675284395,20.766424776085813,nan
245.33092037228553,20.756265558122294,20.32845
245.68252326783877,20.74837642804229,nan
246.12202688728036,20.738818993544527,20.86139
246.56153050672194,20.72960528841938,nan
246.91313340227518,20.722485522550386,20.32845
247.35263702171676,20.713903692807406,20.56864
247.79214064115834,20.70567854410362,nan
248.2316442605999,20.6978129431445,nan
248.67114788004147,20.69030886667494,20.32845
249.02275077559472,20.684566677000447,nan
249.4622543950363,20.677715570693152,20.86139
249.9896587383662,20.669972670744727,nan
250.34126163391946,20.665099700781838,20.593970000000002
250.780765253361,20.659331751488907,20.56864
251.2202688728026,20.653920386563158,20.86139
251.65977249224417,20.648862123249245,nan
252.18717683557404,20.643252340931184,20.32845
252.5387797311273,20.63978741425305,nan
252.9782833505689,20.63576051375091,20.593970000000002
253.41778697001044,20.632065849971667,20.86139
253.85729058945202,20.62869658485394,20.32845
254.2967942088936,20.62564527631727,20.56864
254.73629782833515,20.6229039006557,nan
255.17580144777673,20.62046387467123,nan
255.61530506721832,20.618316078200195,20.86139
256.0548086866599,20.61645087644135,nan
256.49431230610145,20.61485814220211,nan
256.8459152016547,20.61377302530306,20.32845
257.2854188210963,20.61264372603543,20.86139
257.72492244053785,20.611756109085007,nan
258.1644260599794,20.61109838002264,nan
258.603929679421,20.610658359393682,20.56864
259.04343329886257,20.610423504907857,20.86139
259.4829369183041,20.61038093394015,nan
260.01034126163404,20.6105650552108,20.32845
260.3619441571873,20.61081954360813,nan
260.8893485005172,20.61138122882582,nan
261.24095139607044,20.611865167033073,20.86139
261.5925542916237,20.612428178268573,nan
262.03205791106524,20.613231869963755,nan
262.38366080661854,20.61394565146108,20.32845
262.7352637021718,20.614714210698338,20.86139
263.17476732161333,20.615740332919785,nan
263.52637021716663,20.616604214499574,nan
263.9658738366082,20.617725121139273,20.32845
264.40537745604973,20.618877481949283,20.86139
264.84488107549134,20.62004605974468,nan
265.1964839710446,20.62098232909372,nan
265.63598759048614,20.622141568372143,nan
266.07549120992775,20.62327418928541,20.86139
266.5149948293693,20.62436490028628,nan
266.86659772492254,20.625197042645567,nan
267.39400206825246,20.626359645691963,20.32845
267.833505687694,20.627233383018364,nan
268.27300930713557,20.628004661170024,nan
268.62461220268887,20.6285379145356,20.86139
269.23991726990704,20.629267754775327,20.32845
269.41571871768366,20.629424198945316,nan
269.6794208893486,20.62961200467541,20.593970000000002
270.0310237849019,20.62977015219073,20.86139
270.38262668045513,20.629816242200803,nan
270.8221302998967,20.62970542693253,20.32845
271.0858324715617,20.629543849250666,nan
271.5253360910032,20.6291067381662,20.86139
272.0527404343331,20.62828907366017,nan
272.4043433298864,20.627555995079064,20.32845
272.84384694932794,20.626416884699182,nan
273.10754912099287,20.625609916403818,20.56864
273.5470527404344,20.624050878397583,20.86139
274.07445708376434,20.62181258605594,nan
274.5139607032059,20.619628086978963,nan
274.8655635987592,20.617663831848375,nan
275.30506721820075,20.61492911401544,20.86139
275.8324715615306,20.611224831320186,nan
276.35987590486053,20.60704451453236,21.12122
276.8872802481904,20.602373354371565,nan
277.23888314374364,20.598979769574697,20.86139
277.59048603929693,20.59535819980917,nan
278.1178903826268,20.589490798172818,20.593970000000002
278.55739400206835,20.584195721263285,20.56864
278.90899689762165,20.57969019695699,nan
279.3485005170632,20.573717365890815,20.86139
279.78800413650475,20.567361790855983,20.32845
280.22750775594636,20.56061993205546,nan
280.6670113753879,20.553488986128258,nan
281.10651499482947,20.545966908126474,20.86139
281.5460186142711,20.538052434419996,nan
281.98552223371263,20.529745104411603,20.32845
282.4250258531542,20.521045283452594,nan
282.8645294725958,20.51195418475433,20.86139
283.21613236814903,20.504400956158833,nan
283.7435367114789,20.49260738120026,20.080779999999997
284.0951396070322,20.48443867947023,21.12122
284.53464322647375,20.47388741208303,20.32845
284.9741468459153,20.462963199754057,20.86139
285.2378490175803,20.45623235158743,nan
285.67735263702184,20.444725512932536,nan
286.1168562564634,20.43286490649004,nan
286.4684591520167,20.42312786807267,20.080779999999997
286.82006204756993,20.413175504259897,20.32845
287.08376421923487,20.405573304442413,21.12122
287.4353671147881,20.395257978727358,nan
287.8748707342297,20.382085178809547,20.86139
288.31437435367127,20.368615507426483,21.4195
288.7538779731128,20.354863696667934,20.080779999999997
289.19338159255443,20.340845648259318,20.32845
289.5449844881077,20.32945096475848,21.13033
290.16028955532585,20.30915481977533,20.86139
290.68769389865577,20.291432837022484,21.4195
291.1271975180973,20.27646294767507,nan
291.5667011375389,20.26133385470345,21.13033
291.91830403309217,20.249131981110594,20.080779999999997
292.44570837642203,20.230695060074112,20.86139
292.88521199586364,20.21523721956143,21.12122
293.2368148914169,20.20282964219402,nan
293.5884177869701,20.190401533696757,20.32845
294.02792140641174,20.17486128214111,20.593970000000002
294.4674250258533,20.159344982259398,20.080779999999997
294.90692864529484,20.143885774736162,20.86139
295.2585315408481,20.131582731717543,19.81928
295.6101344364014,20.119356777277034,20.593970000000002
296.04963805584293,20.104211811163594,nan
296.57704239917285,20.08629061816643,20.56864
297.0165460186144,20.071614218142685,20.32845
297.36814891416765,20.060072084246684,nan
297.7197518097209,20.048730909491468,20.080779999999997
298.2471561530508,20.03214630909676,20.86139
298.7745604963807,20.016145911840766,20.32845
299.2140641158223,20.003318827193624,20.56864
299.5656670113755,19.993424855785605,20.593970000000002
300.0051706308171,19.981560594167576,21.70103
300.532574974147,19.968132299227335,20.04167
300.88417786970024,19.959714540154863,20.32845
301.2357807652535,19.951758380308064,19.81928
301.5873836608067,19.94429383741405,19.58955
301.93898655636,19.937351677302985,20.56864
302.3784901758016,19.92945667103956,20.32845
302.8179937952431,19.92249043867011,20.86139
303.0816959669081,19.91878352469027,19.81928
303.43329886246136,19.914422418767543,nan
303.7849017580146,19.910757780309694,nan
304.2244053774562,19.907210711497072,20.593970000000002
304.75180972078607,19.90456475190328,20.32845
305.1913133402276,19.903788111880175,20.04167
305.5429162357809,19.9041560562018,20.56864
305.9824198552225,19.905917668494993,nan
306.50982419855234,19.910045758007954,nan
307.03722854188226,19.916504501370554,21.70103
