angle,predicted_impedance,impedance,Difference,
274.5139607,19.82434134,20.16752,1.701640382,0.343178664
274.9534643,19.82325521,nan,#VALUE!,#VALUE!
275.3929679,19.82215398,19.51374,1.555905478,0.30841398
275.8324716,19.82103673,19.88815,0.337453552,0.067113269
276.2719752,19.81990258,20.16752,1.723649794,0.347617417
276.7114788,19.81875067,nan,#VALUE!,#VALUE!
277.1509824,19.81758017,19.51374,1.533185,0.303840166
277.590486,19.81639025,nan,#VALUE!,#VALUE!
278.1178904,19.81493562,20.16752,1.748278315,0.352584379
278.4694933,19.81394907,19.77741,0.184410818,0.036539066
278.9089969,19.81269631,19.60937,1.026242497,0.203326309
279.3485005,19.81142116,19.88815,0.385801776,0.076728836
279.7880041,19.81012296,nan,#VALUE!,#VALUE!
280.2275078,19.80880105,20.16752,1.778696411,0.358718954
280.6670114,19.80745482,nan,#VALUE!,#VALUE!
281.1944157,19.80580644,19.88815,0.414033262,0.082343556
281.5460186,19.80468715,nan,#VALUE!,#VALUE!
281.9855222,19.80326465,20.16752,1.806148452,0.36425535
282.4250259,19.80181573,nan,#VALUE!,#VALUE!
282.8645295,19.80033995,nan,#VALUE!,#VALUE!
283.3040331,19.79883692,19.88815,0.449076873,0.089313082
283.7435367,19.79730626,19.77741,0.100499845,0.019896262
284.0951396,19.79606163,nan,#VALUE!,#VALUE!
284.4467425,19.79479897,nan,#VALUE!,#VALUE!
284.7983454,19.79351815,19.88815,0.475820277,0.09463185
285.3257497,19.79156262,19.77741,0.071508359,0.014152622
285.6773526,19.79023594,20.16752,1.87075089,0.37728406
286.204757,19.78821125,nan,#VALUE!,#VALUE!
286.6442606,19.78649214,19.51374,1.378476463,0.272752137
287.0837642,19.784744,nan,#VALUE!,#VALUE!
287.4353671,19.7833246,nan,#VALUE!,#VALUE!
287.8748707,19.78152427,nan,#VALUE!,#VALUE!
288.2264736,19.78006321,19.88815,0.543473327,0.10808679
288.6659772,19.77821099,20.16752,1.930376206,0.389309007
289.0175801,19.77670862,nan,#VALUE!,#VALUE!
289.369183,19.77518807,19.51374,1.322101548,0.261448068
289.8965874,19.77287345,19.88815,0.579624309,0.115276552
290.2481903,19.77130808,nan,#VALUE!,#VALUE!
290.6876939,19.76932664,19.77741,0.040871686,0.008083361
291.1271975,19.76731811,19.51374,1.282814929,0.253578108
291.4788004,19.7656921,nan,#VALUE!,#VALUE!
291.918304,19.76363605,20.16752,2.002645576,0.403883947
292.3578077,19.7615544,19.88815,0.636537834,0.126595599
292.7094105,19.75987107,19.77741,0.088681636,0.017538931
293.1489142,19.75774497,nan,#VALUE!,#VALUE!
293.5884178,19.75559521,19.51374,1.224236497,0.241855207
294.0279214,19.75342257,19.88815,0.677425632,0.134727426
294.467425,19.75122794,19.77741,0.132383651,0.026182057
294.9069286,19.74901224,nan,#VALUE!,#VALUE!
295.2585315,19.74722517,nan,#VALUE!,#VALUE!
295.6980352,19.74497409,nan,#VALUE!,#VALUE!
296.1375388,19.74270487,20.16752,2.106432159,0.424815127
296.4891417,19.74087724,19.51374,1.150593425,0.227137235
296.9286453,19.73857839,nan,#VALUE!,#VALUE!
297.3681489,19.73626488,nan,#VALUE!,#VALUE!
297.8076525,19.73393806,nan,#VALUE!,#VALUE!
298.2471562,19.73159937,19.77741,0.231631093,0.045810631
298.6866598,19.72925031,nan,#VALUE!,#VALUE!
299.0382627,19.72736466,20.16752,2.182496137,0.440155345
299.4777663,19.72500096,19.51374,1.071031407,0.211260955
299.9172699,19.72263148,19.77741,0.27697517,0.054778515
300.2688728,19.72073295,nan,#VALUE!,#VALUE!
300.7083764,19.71835763,19.88815,0.853736367,0.169792369
301.14788,19.71598172,nan,#VALUE!,#VALUE!
301.5873837,19.71360721,19.51374,1.013854083,0.199867212
301.9389866,19.71171,20.16752,2.260119223,0.455809996
302.3784902,19.70934329,19.77741,0.34416391,0.068066707
302.8179938,19.70698398,nan,#VALUE!,#VALUE!
303.2574974,19.70463437,19.51374,0.968779061,0.190894372
303.697001,19.70229683,nan,#VALUE!,#VALUE!
304.0486039,19.70043714,19.77741,0.389195831,0.076972855
304.4002068,19.69858805,20.16752,2.325183998,0.468931948
304.8397104,19.69629362,19.51374,0.926842492,0.182553619
305.2792141,19.6940205,nan,#VALUE!,#VALUE!
305.630817,19.69221921,19.77741,0.430747967,0.085190792
306.0703206,19.68999148,nan,#VALUE!,#VALUE!
306.5098242,19.68779302,nan,#VALUE!,#VALUE!
307.0372285,19.68519775,19.51374,0.870998381,0.171457754
307.4767322,19.68307441,19.88815,1.031144645,0.205075594
307.8283351,19.6814038,nan,#VALUE!,#VALUE!
308.2678387,19.67935341,nan,#VALUE!,#VALUE!
308.7073423,19.67734822,19.51374,0.831454639,0.163608225
309.1468459,19.67539172,nan,#VALUE!,#VALUE!
309.5863495,19.67348745,19.77741,0.525460873,0.103922551
309.9379524,19.67200409,nan,#VALUE!,#VALUE!
310.377456,19.67020312,20.16752,2.465929779,0.497316881
310.8169597,19.66846485,nan,#VALUE!,#VALUE!
311.2564633,19.66679321,19.51374,0.778231673,0.153053214
311.6959669,19.66519223,19.77741,0.567403761,0.112217768
312.1354705,19.66366603,20.16752,2.498343738,0.503853973
314.3329886,19.65730804,nan,#VALUE!,#VALUE!
314.5087901,19.65690147,nan,#VALUE!,#VALUE!
314.7724922,19.65632278,19.88815,1.165655048,0.231827225
315.1240951,19.65561101,19.77741,0.615849059,0.121798993
315.5635988,19.65482101,nan,#VALUE!,#VALUE!
316.0031024,19.6541465,19.51374,0.714386164,0.140406503
316.442606,19.65359265,20.16752,2.548292265,0.513927352
317.4974147,19.65278733,nan,#VALUE!,#VALUE!
317.6732161,19.65272888,19.88815,1.183725579,0.235421119
318.024819,19.65268012,19.51374,0.706977973,0.13894012
318.2885212,19.65270461,nan,#VALUE!,#VALUE!
318.7280248,19.6528654,nan,#VALUE!,#VALUE!
319.1675284,19.65318126,nan,#VALUE!,#VALUE!
319.6070321,19.65365813,19.51374,0.711919026,0.139918131
320.0465357,19.6543021,19.88815,1.175815235,0.233847898
320.4860393,19.65511936,nan,#VALUE!,#VALUE!
320.9255429,19.65611623,nan,#VALUE!,#VALUE!
321.2771458,19.65704736,19.51374,0.729038093,0.143307363
321.8045502,19.65867464,20.16752,2.523093367,0.508845359
322.8593588,19.66280182,nan,#VALUE!,#VALUE!
323.0351603,19.66360792,nan,#VALUE!,#VALUE!
323.2109617,19.664449,19.51374,0.766403374,0.150709001
323.6504654,19.66670771,nan,#VALUE!,#VALUE!
324.089969,19.66919508,nan,#VALUE!,#VALUE!
324.5294726,19.67191841,19.77741,0.533394345,0.105491586
324.9689762,19.67488517,nan,#VALUE!,#VALUE!
325.4084798,19.67810293,19.51374,0.835257995,0.164362928
325.7600827,19.68086303,nan,#VALUE!,#VALUE!
326.2874871,19.68532239,nan,#VALUE!,#VALUE!
326.7269907,19.68933991,nan,#VALUE!,#VALUE!
327.0785936,19.69275701,19.51374,0.909049991,0.179017006
327.1664943,19.69364003,19.77741,0.423563892,0.083769967
327.0785936,19.69275701,nan,#VALUE!,#VALUE!
326.8148914,19.69017706,nan,#VALUE!,#VALUE!
326.4632885,19.68689601,nan,#VALUE!,#VALUE!
326.1116856,19.6837927,19.77741,0.473354698,0.093617299
325.672182,19.68015726,19.51374,0.845609412,0.166417262
325.2326784,19.67678522,nan,#VALUE!,#VALUE!
324.7931748,19.67366878,20.16752,2.448745431,0.493851224
324.3536711,19.67080029,19.88815,1.092860379,0.217349712
323.9141675,19.66817223,19.51374,0.785188508,0.154432228
323.6504654,19.66670771,nan,#VALUE!,#VALUE!
323.0351603,19.66360792,nan,#VALUE!,#VALUE!
322.5956567,19.66165726,nan,#VALUE!,#VALUE!
322.1561531,19.65991819,19.51374,0.743534065,0.146178189
321.7166494,19.65838381,nan,#VALUE!,#VALUE!
321.3650465,19.65729914,nan,#VALUE!,#VALUE!
320.9255429,19.65611623,nan,#VALUE!,#VALUE!
320.4860393,19.65511936,19.51374,0.719300465,0.141379365
319.958635,19.65415964,19.88815,1.176531529,0.233990355
319.5191313,19.65354959,20.16752,2.54850579,0.513970415
318.3764219,19.65272464,nan,#VALUE!,#VALUE!
318.2006205,19.65269054,19.14973,2.55924519,0.502960537
317.4974147,19.65278733,19.51374,0.707519662,0.139047334
317.409514,19.65282492,nan,#VALUE!,#VALUE!
317.1458118,19.65297059,19.77741,0.629199719,0.124439408
316.7942089,19.65323996,19.14973,2.561969224,0.503509959
315.7394002,19.65453706,nan,#VALUE!,#VALUE!
315.6514995,19.6546767,19.51374,0.717064465,0.140936702
315.3877973,19.65512343,19.77741,0.618314374,0.122286569
315.0361944,19.65578242,nan,#VALUE!,#VALUE!
314.5966908,19.65670438,19.2502,2.068018976,0.406504377
314.2450879,19.65751745,19.51374,0.731412047,0.143777451
313.8055843,19.65862414,nan,#VALUE!,#VALUE!
313.3660807,19.65982681,nan,#VALUE!,#VALUE!
312.926577,19.66112084,19.77741,0.587989822,0.116289158
312.3991727,19.66278795,19.51374,0.75802043,0.14904795
312.0475698,19.66396508,nan,#VALUE!,#VALUE!
311.5201655,19.66582388,nan,#VALUE!,#VALUE!
311.0806618,19.66745362,nan,#VALUE!,#VALUE!
310.5532575,19.66950007,19.51374,0.791886263,0.155760069
310.2016546,19.6709162,19.77741,0.538461808,0.1064938
309.762151,19.67274118,nan,#VALUE!,#VALUE!
309.3226474,19.67462354,nan,#VALUE!,#VALUE!
308.8831437,19.67655958,19.51374,0.827479942,0.162819584
308.5315408,19.67814465,19.77741,0.501912775,0.099265347
308.0041365,19.68057844,nan,#VALUE!,#VALUE!
307.5646329,19.68265434,nan,#VALUE!,#VALUE!
307.1251293,19.6847701,19.51374,0.868844805,0.171030102
306.6856256,19.68692251,nan,#VALUE!,#VALUE!
306.246122,19.68910842,nan,#VALUE!,#VALUE!
305.8066184,19.69132479,nan,#VALUE!,#VALUE!
305.3671148,19.69356868,19.77741,0.423924684,0.083841323
304.9276112,19.6958372,19.51374,0.924546648,0.182097203
304.4881075,19.69812759,nan,#VALUE!,#VALUE!
304.0486039,19.70043714,nan,#VALUE!,#VALUE!
303.697001,19.70229683,19.14973,2.804580797,0.552566833
302.6421923,19.70792667,19.51374,0.985322693,0.194186674
302.4663909,19.70887077,nan,#VALUE!,#VALUE!
302.2026887,19.71028921,nan,#VALUE!,#VALUE!
301.8510858,19.71218404,nan,#VALUE!,#VALUE!
301.4994829,19.7140819,19.51374,1.01623755,0.200341903
300.9720786,19.71693203,19.77741,0.305793177,0.06047797
300.6204757,19.7188328,nan,#VALUE!,#VALUE!
300.1809721,19.72120777,nan,#VALUE!,#VALUE!
299.7414685,19.72357985,20.66883,4.57331231,0.945250147
298.7745605,19.72877939,20.16752,2.175481212,0.438740608
298.598759,19.72972088,19.51374,1.094698085,0.215980877
298.2471562,19.73159937,20.27314,2.671222272,0.541540631
297.4560496,19.73580054,nan,#VALUE!,#VALUE!
297.2802482,19.73672869,nan,#VALUE!,#VALUE!
297.016546,19.73811682,19.51374,1.136769144,0.224376822
296.5770424,19.7404187,19.77741,0.187038122,0.036991296
296.2254395,19.74224896,nan,#VALUE!,#VALUE!
295.7859359,19.74452166,19.60937,0.684502064,0.135151658
295.3464323,19.74677646,23.2338,15.00840818,3.48702354
294.3795243,19.75166859,21.92092,9.895804624,2.169251415
293.9400207,19.75385889,20.16752,2.051125328,0.413661111
293.7642192,19.75472885,19.77741,0.114682102,0.02268115
293.5005171,19.75602702,19.88815,0.664330187,0.132122984
293.1489142,19.75774497,nan,#VALUE!,#VALUE!
292.7094105,19.75987107,19.51374,1.245610705,0.246131069
292.2699069,19.76197275,nan,#VALUE!,#VALUE!
291.8304033,19.76404933,nan,#VALUE!,#VALUE!
291.3908997,19.76610018,19.39874,1.858536484,0.367360183
290.9513961,19.76812474,19.77741,0.04694881,0.009285259
290.5118925,19.77012249,19.51374,1.296817924,0.256382492
290.0723888,19.77209298,nan,#VALUE!,#VALUE!
289.6328852,19.7740358,nan,#VALUE!,#VALUE!
289.1933816,19.77595061,nan,#VALUE!,#VALUE!
288.6659772,19.77821099,19.51374,1.337183594,0.264470993
288.3143744,19.77969506,nan,#VALUE!,#VALUE!
287.8748707,19.78152427,nan,#VALUE!,#VALUE!
287.4353671,19.7833246,nan,#VALUE!,#VALUE!
286.9079628,19.78544674,19.14973,3.213052235,0.635716739
285.9410548,19.7892288,19.51374,1.39211491,0.275488805
285.7652534,19.78990138,nan,#VALUE!,#VALUE!
285.5015512,19.79090159,19.77741,0.068170654,0.013491587
285.1499483,19.79221905,nan,#VALUE!,#VALUE!
284.7983454,19.79351815,19.51374,1.413483684,0.27977815
284.3588418,19.79511633,nan,#VALUE!,#VALUE!
283.9193382,19.79668619,nan,#VALUE!,#VALUE!
283.4798345,19.79822799,19.77741,0.105150769,0.020817989
283.0403309,19.79974203,nan,#VALUE!,#VALUE!
282.6008273,19.80122867,nan,#VALUE!,#VALUE!
282.073423,19.80297699,19.14973,3.298731268,0.653246994
281.1944157,19.80580644,19.51374,1.474650601,0.292066444
281.0186143,19.80635994,nan,#VALUE!,#VALUE!
280.7549121,19.80718261,nan,#VALUE!,#VALUE!
280.3154085,19.80853376,19.77741,0.157123011,0.031123765
279.9638056,19.80959707,19.51374,1.493503733,0.295857072
279.524302,19.81090469,nan,#VALUE!,#VALUE!
279.0847983,19.81218898,nan,#VALUE!,#VALUE!
278.7331954,19.81320006,19.14973,3.348626461,0.66347006
277.7662875,19.81590867,19.51374,1.524879202,0.30216867
277.590486,19.81639025,nan,#VALUE!,#VALUE!
277.3267839,19.81710657,19.77741,0.200314678,0.039696573
276.975181,19.81805065,nan,#VALUE!,#VALUE!
276.5356774,19.81921362,19.51374,1.541300421,0.305473623
276.1840745,19.82013081,nan,#VALUE!,#VALUE!
275.7445708,19.82126151,nan,#VALUE!,#VALUE!
275.3929679,19.82215398,19.39874,2.136064426,0.42341398
274.8655636,19.82347362,19.51374,1.562458842,0.309733616
274.42606,19.82455683,nan,#VALUE!,#VALUE!
273.9865564,19.82562605,nan,#VALUE!,#VALUE!
273.5470527,19.82668222,19.88815,0.309067338,0.061467776
273.0196484,19.82793379,19.51374,1.584601773,0.31419379
272.6680455,19.82875936,nan,#VALUE!,#VALUE!
272.2285419,19.82978231,19.77741,0.264109334,0.052372306
271.7011375,19.83099799,19.14973,3.435369158,0.681267989
270.7342296,19.83319887,nan,#VALUE!,#VALUE!
270.6463289,19.83339747,19.51374,1.611713101,0.319657465
270.3826267,19.83399203,nan,#VALUE!,#VALUE!
270.0310238,19.83478225,nan,#VALUE!,#VALUE!
269.6794209,19.83557008,nan,#VALUE!,#VALUE!
269.2399173,19.83655237,19.77741,0.29814844,0.059142372
268.8883144,19.8373369,19.51374,1.631251724,0.3235969
268.4488108,19.83831687,19.2502,2.964550222,0.588116867
267.5698035,19.84027876,nan,#VALUE!,#VALUE!
267.3940021,19.84067207,19.88815,0.238724697,0.047477926
267.0423992,19.84146021,20.16752,1.616757,0.326059791
266.6907963,19.84225085,19.77741,0.326781728,0.06484085
266.3391934,19.84304459,19.14973,3.493992986,0.693314586
265.3722854,19.84524813,19.51374,1.670466013,0.331508125
265.196484,19.84565272,nan,#VALUE!,#VALUE!
265.0206825,19.84605872,nan,#VALUE!,#VALUE!
264.6690796,19.84687521,19.77741,0.350005754,0.069465205
264.3174767,19.84769818,19.51374,1.682604099,0.333958183
263.9658738,19.84852824,nan,#VALUE!,#VALUE!
263.4384695,19.84978789,nan,#VALUE!,#VALUE!
262.9989659,19.85085222,nan,#VALUE!,#VALUE!
262.5594623,19.85193105,19.51374,1.70356754,0.338191053
262.2078594,19.85280534,nan,#VALUE!,#VALUE!
261.7683557,19.85391316,nan,#VALUE!,#VALUE!
261.4167528,19.8548121,nan,#VALUE!,#VALUE!
261.0651499,19.85572294,19.77741,0.394409917,0.07831294
260.6256463,19.85687909,19.51374,1.728061545,0.343139092
260.2740434,19.85781879,nan,#VALUE!,#VALUE!
259.8345398,19.8590128,nan,#VALUE!,#VALUE!
259.3950362,19.86022938,nan,#VALUE!,#VALUE!
259.0434333,19.86121961,19.77741,0.421976161,0.083809612
258.516029,19.86273454,19.51374,1.757031675,0.348994537
258.1644261,19.86376499,nan,#VALUE!,#VALUE!
257.7249224,19.86507706,nan,#VALUE!,#VALUE!
257.2854188,19.86641676,nan,#VALUE!,#VALUE!
256.8459152,19.8677851,19.51374,1.782005903,0.354045103
256.4064116,19.86918308,19.14973,3.620949488,0.719453083
255.6153051,19.87177724,nan,#VALUE!,#VALUE!
255.4395036,19.87236775,19.77741,0.477838139,0.094957752
255.0879007,19.87356453,19.51374,1.810568644,0.359824528
254.7362978,19.8747827,nan,#VALUE!,#VALUE!
254.2967942,19.8763362,nan,#VALUE!,#VALUE!
253.9451913,19.87760418,nan,#VALUE!,#VALUE!
253.5056877,19.87922135,19.51374,1.838509403,0.365481354
253.0661841,19.88087507,nan,#VALUE!,#VALUE!
252.6266805,19.88256616,19.14973,3.685822795,0.732836156
251.8355739,19.88570674,19.77741,0.544595873,0.108296738
251.6597725,19.88642187,nan,#VALUE!,#VALUE!
251.3081696,19.88787127,nan,#VALUE!,#VALUE!
250.9565667,19.88934649,19.51374,1.888480811,0.375606492
250.5170631,19.89122734,nan,#VALUE!,#VALUE!
250.1654602,19.89276188,19.77741,0.579868614,0.115351883
249.7259566,19.89471791,nan,#VALUE!,#VALUE!
249.2864529,19.89671654,19.51374,1.924822827,0.382976542
248.8469493,19.89875833,19.39874,2.512811725,0.500018332
246.737332,19.9091751,nan,#VALUE!,#VALUE!
246.5615305,19.91009011,nan,#VALUE!,#VALUE!
246.1220269,19.91240973,19.51374,2.002116959,0.398669732
245.770424,19.91429861,nan,#VALUE!,#VALUE!
245.3309204,19.91670139,19.77741,0.69936976,0.139291387
244.803516,19.91964613,19.14973,3.865109474,0.76991613
243.9245088,19.92470361,19.2502,3.385262938,0.674503607
243.5729059,19.9267791,nan,#VALUE!,#VALUE!
243.3971044,19.92782811,19.51374,2.077938977,0.414088108
243.0455016,19.92994865,nan,#VALUE!,#VALUE!
242.6938987,19.93209923,19.14973,3.925172247,0.782369227
241.7269907,19.9381678,nan,#VALUE!,#VALUE!
241.63909,19.93873069,19.2502,3.453232299,0.688530688
240.8479835,19.94388026,19.39874,2.733371111,0.545140261
240.3205791,19.94739636,nan,#VALUE!,#VALUE!
240.0568769,19.94917913,19.14973,4.0074287,0.79944913
239.4415719,19.95340244,nan,#VALUE!,#VALUE!
239.3536711,19.95401298,19.51374,2.206438271,0.440272979
239.089969,19.95585533,nan,#VALUE!,#VALUE!
238.6504654,19.95896146,19.14973,4.054476801,0.809231462
237.6835574,19.96594882,19.77741,0.944301829,0.18853882
237.5077559,19.96724159,19.51374,2.271228053,0.453501592
237.2440538,19.96919342,19.2502,3.600513092,0.718993424
236.3650465,19.97580738,nan,#VALUE!,#VALUE!
236.1892451,19.97714969,nan,#VALUE!,#VALUE!
235.9255429,19.9791751,19.77741,1.009877043,0.201765103
235.4860393,19.98258213,19.51374,2.346254007,0.468842134
235.1344364,19.98533541,nan,#VALUE!,#VALUE!
234.7828335,19.9881127,nan,#VALUE!,#VALUE!
