angle,predicted_impedance,impedance,Error
244.9793175,20.21113821,nan,#VALUE!
244.188211,20.21564781,nan,#VALUE!
242.5180972,20.22566688,nan,#VALUE!
242.0785936,20.22841599,nan,#VALUE!
239.4415719,20.24588356,nan,#VALUE!
238.9141675,20.2495736,nan,#VALUE!
238.2109617,20.25459267,nan,#VALUE!
236.9803516,20.26364144,nan,#VALUE!
234.0796277,20.28621819,nan,#VALUE!
232.5853154,20.29845923,nan,#VALUE!
230.8273009,20.31330327,nan,#VALUE!
230.475698,20.31632144,nan,#VALUE!
229.9482937,20.32087543,nan,#VALUE!
227.6628749,20.34090345,nan,#VALUE!
226.7838676,20.34869142,nan,#VALUE!
224.5863495,20.36819898,nan,#VALUE!
222.8283351,20.38366497,nan,#VALUE!
220.630817,20.40250113,nan,#VALUE!
218.8728025,20.41690225,nan,#VALUE!
217.114788,20.43044088,nan,#VALUE!
216.6752844,20.43365909,nan,#VALUE!
213.598759,20.45380306,nan,#VALUE!
212.2802482,20.46088228,nan,#VALUE!
240.4963806,20.23869811,22.40128,9.653831797
266.6028956,20.13493009,22.15272,9.108542464
249.1106515,20.19000917,22.15272,8.859908987
318.7280248,19.94534652,21.72253,8.18129139
326.0237849,19.97552528,21.72253,8.042363001
305.7187177,19.98425258,21.72253,8.002186746
223.0920372,20.38136139,22.15272,7.996122433
301.0599793,20.00893798,21.72253,7.888547163
296.6649431,20.03244066,21.72253,7.780352177
294.7311272,20.04238211,21.72253,7.734586586
291.5667011,20.05776409,21.72253,7.663775408
290.0723888,20.0645741,21.72253,7.632425414
284.5346432,20.08696159,21.72253,7.529364239
277.1509824,20.11006129,21.72253,7.423024449
275.1292658,20.1152977,21.72253,7.398918522
270.910031,20.12528213,21.72253,7.352955059
270.7342296,20.12567999,21.72253,7.351123513
269.2399173,20.12903349,21.72253,7.335685611
266.5149948,20.13512842,21.72253,7.30762754
264.4932782,20.13976697,21.72253,7.286273897
263.7021717,20.14163691,21.72253,7.277665602
210.8738366,20.46716889,19.00544,7.141822591
251.7476732,20.17854463,21.72253,7.107760318
251.483971,20.17962449,21.72253,7.102789184
213.1592554,20.45628048,19.00544,7.09239632
316.2668046,19.9462805,21.46779,7.0874063
249.9896587,20.18602034,21.72253,7.073345788
322.6835574,19.95451136,21.46779,7.049065776
216.2357808,20.43680177,19.00544,7.003844272
325.5842813,19.97194315,21.46779,6.96786603
219.3123061,20.41337264,19.00544,6.897109388
241.3753878,20.23291165,21.72253,6.85748094
239.705274,20.24406273,21.72253,6.806146765
235.8376422,20.27233452,21.72253,6.675997154
293.4126163,20.04893902,21.46779,6.609208379
233.991727,20.2869276,21.72253,6.608817649
293.3247156,20.04936898,21.46779,6.607205565
232.3216132,20.30065731,21.72253,6.545612735
287.78697,20.07436777,21.46779,6.490757673
229.6845915,20.32316361,21.72253,6.442004657
228.9813857,20.329298,21.72253,6.413764875
227.0475698,20.34635216,21.72253,6.335255797
277.590486,20.10887137,21.46779,6.330035045
317.3216132,19.94534914,21.28929,6.312755643
315.0361944,19.94826354,21.28929,6.299066141
321.4529473,19.95003974,21.28929,6.290722978
310.5532575,19.96198119,21.28929,6.23463164
308.7073423,19.96982935,21.28929,6.197767303
308.0920372,19.97264945,21.28929,6.184520704
262.3836608,20.14484803,21.46779,6.162450692
262.2078594,20.14528646,21.46779,6.160408426
259.8345398,20.15149392,21.46779,6.131493183
326.9906929,19.98436667,21.28929,6.129482633
215.4446743,20.44225329,19.20138,6.070139472
300.6204757,20.01131392,21.28929,6.002906039
298.7745605,20.02126051,21.28929,5.956184953
296.7528438,20.03198089,21.28929,5.905829243
239.2657704,20.24710643,21.46779,5.686116589
214.0382627,20.45121523,19.31175,5.571626012
276.3598759,20.11215477,21.28929,5.529236672
215.7962771,20.43986425,19.31175,5.519186592
274.2502585,20.11746726,21.28929,5.504282843
273.2833506,20.11979119,21.28929,5.493366878
233.024819,20.29482014,21.46779,5.463859384
217.5542916,20.42715169,19.31175,5.460387751
231.8821096,20.30434415,21.46779,5.419495216
264.1416753,20.14059341,21.28929,5.395654758
220.1913133,20.40616818,19.31175,5.3631734
261.1530507,20.1479752,21.28929,5.360981016
316.7063082,19.94580155,21.07559,5.360649221
319.3433299,19.94583347,21.07559,5.360497771
320.1344364,19.94693261,21.07559,5.355282524
313.7176836,19.95133826,21.07559,5.334378482
259.0434333,20.15370073,21.28929,5.334087079
312.8386763,19.95387134,21.07559,5.322359489
322.7714581,19.95489286,21.07559,5.317512518
311.1685626,19.95960314,21.07559,5.295163078
308.9710445,19.96864938,21.07559,5.252240269
252.6266805,20.17504728,21.28929,5.233818148
306.5098242,19.98027414,21.07559,5.197082767
326.8148914,19.98265818,21.07559,5.185770914
225.7290589,20.35806008,21.46779,5.169278797
305.0155119,19.98786278,21.07559,5.161076004
304.3123061,19.99153038,21.07559,5.143673887
302.2026887,20.00277034,21.07559,5.090342262
301.8510858,20.00466516,21.07559,5.081351654
300.1809721,20.01368889,21.07559,5.038535616
299.2140641,20.0189011,21.07559,5.013804599
243.1334023,20.22189682,21.28929,5.013756575
297.983454,20.02548505,21.07559,4.982564916
296.3133402,20.03427349,21.07559,4.940865272
296.3133402,20.03427349,21.07559,4.940865272
294.7311272,20.04238211,21.07559,4.902391305
292.9731127,20.05107942,21.07559,4.861124096
