angle,predicted_impedance,impedance,,,,,
275.9203723,19.25893583,22.66158,3.402644174,,15.01503502,,
276.7114788,19.25341239,20.01185,0.758437612,,3.789942519,,
277.7662875,19.26457303,20.63662,1.372046974,,6.648603184,,
277.8541882,19.27918332,21.26849,1.989306678,,9.353304714,,
278.557394,19.28728928,23.58118,4.293890723,,18.2089731,,
278.8210962,19.2762007,19.39864,0.122439295,,0.631174635,,
279.2605998,19.28219691,20.01185,0.729653091,,3.646105135,,
280.3154085,19.29351699,18.87698,0.416536989,,2.158947947,,
280.6670114,19.31187483,22.02314,2.711265173,,12.31098369,,
281.2823164,19.32088887,21.26849,1.947601127,,9.157213922,,
281.3702172,19.30636421,20.63662,1.330255793,,6.446093366,,
281.8097208,19.31298825,20.01185,0.698861746,,3.492239576,,
281.9855222,19.32781093,23.58118,4.253369073,,18.03713416,,
282.3371251,19.31861242,19.39864,0.080027576,,0.4125422,,
282.5129266,19.33725902,22.66158,3.324320979,,14.66941396,,
282.8645295,19.32548806,21.26849,1.943001942,,9.135589511,,
283.2161324,19.34696043,22.02314,2.676179571,,12.15167125,,
283.3919338,19.33250353,20.63662,1.304116469,,6.319428614,,
283.8314374,19.33966049,20.01185,0.67218951,,3.358957369,,
283.9193382,19.35440468,21.26849,1.914085318,,8.999629584,,
284.3588418,19.34573378,19.39864,0.052906215,,0.272731569,,
285.0620476,19.37234207,22.72856,3.356217928,,14.76652251,,
285.237849,19.35944828,20.63662,1.277171725,,6.188860988,,
285.6773526,19.38161137,23.58118,4.199568632,,17.80898425,,
285.7652534,19.36584416,20.01185,0.646005841,,3.228116544,,
287.0837642,19.38699863,20.63662,1.249621367,,6.055358713,,
287.0837642,19.40215412,24.20588,4.803725884,,19.84528505,,
288.2264736,19.42655922,21.26849,1.841930785,,8.66037403,,
288.753878,19.41205884,21.26849,1.856431164,,8.728551789,,
289.1054809,19.43996091,23.58118,4.141219088,,17.5615431,,
289.2812823,19.42070962,20.01185,0.591140381,,2.953951688,,
289.8965874,19.44907906,22.66158,3.212500938,,14.17597951,,
289.9844881,19.42950868,18.87698,0.552528682,,2.843760442,,
291.0392968,19.47250951,22.02314,2.550630492,,11.58159323,,
291.7425026,19.48537083,23.58118,4.09580917,,17.36897462,,
292.0062048,19.46933354,20.63662,1.167286462,,5.656383953,,
292.4457084,19.49682851,21.26849,1.771661488,,8.329982466,,
293.0610134,19.50679825,24.45339,4.946591746,,20.22865437,,
293.5884178,19.49848066,18.87698,0.621500664,,3.187431238,,
294.0279214,19.50679825,20.01185,0.505051746,,2.5237634,,
294.9948294,19.54624084,22.66158,3.115339156,,13.74722837,,
295.0827301,19.52542452,20.63662,1.111195475,,5.384580786,,
295.6101344,19.55861317,22.02314,2.464526827,,11.19062417,,
296.1375388,19.54624084,20.01185,0.465609156,,2.326667227,,
296.2254395,19.57475757,21.26849,1.693732435,,7.963576326,,
297.1044467,19.56575619,20.63662,1.070863811,,5.189143432,,
297.8076525,19.60222208,22.66158,3.059357924,,13.50019691,,
298.6866598,19.59852187,20.01185,0.413328127,,2.065416877,,
299.565667,19.61713375,20.63662,1.019486246,,4.940180348,,
299.565667,19.64744825,21.26849,1.62104175,,7.621799901,,
300.4446743,19.65704241,23.58118,3.924137587,,16.64097211,,
300.532575,19.63981238,22.02314,2.383327621,,10.82192467,,
300.8841779,19.67055976,22.02314,2.352580244,,10.68231071,,
301.5873837,19.66282382,20.01185,0.349026177,,1.744097508,,
302.114788,19.67249842,18.87698,0.795518425,,4.043809828,,
302.114788,19.69981522,22.66158,2.961764783,,13.06954229,,
303.1695967,19.69589449,21.26849,1.572595506,,7.394015779,,
303.5211996,19.72937215,22.02314,2.29376785,,10.41526254,,
303.697001,19.70767252,20.63662,0.928947484,,4.501451708,,
304.2244054,19.71949379,19.39864,0.32085379,,1.627089383,,
304.7518097,19.76307607,22.66158,2.898503934,,12.79038767,,
305.1913133,19.74125178,20.01185,0.270598224,,1.352189949,,
306.1582213,19.79085963,23.58118,3.790320369,,16.07349746,,
306.246122,19.76506148,21.26849,1.503428523,,7.068807061,,
306.7735264,19.77697334,20.63662,0.859646662,,4.165636921,,
307.7404343,19.8007629,20.01185,0.211087102,,1.054810535,,
308.2678387,19.8342491,22.66158,2.827330899,,12.4763185,,
308.7073423,19.82247195,22.02314,2.200668052,,9.99252628,,
308.795243,19.84791277,25.33644,5.488527234,,21.66258257,,
309.2347466,19.83229008,20.63662,0.804329921,,3.897585557,,
309.4105481,19.86147631,24.20588,4.344403691,,17.94772052,,
310.7290589,19.86533051,21.26849,1.403159492,,6.597363009,,
310.8169597,19.89199695,23.58118,3.689183046,,15.64460746,,
311.4322647,19.90323098,22.66158,2.758349019,,12.17191837,,
311.6959669,19.88822437,20.01185,0.123625632,,0.617762134,,
312.6628749,19.90694605,19.39864,0.508306049,,2.55341049,,
313.5418821,19.94665991,23.58118,3.634520094,,15.41279993,,
313.7176836,19.92888893,20.01185,0.08296107,,0.414559721,,
314.0692865,19.95878071,22.66158,2.702799288,,11.92679102,,
314.6845915,19.95015124,22.02314,2.072988765,,9.412775674,,
314.6845915,19.97227484,22.02314,2.050865162,,9.312319507,,
315.3877973,19.98534953,25.33644,5.351090473,,21.12013556,,
316.0910031,19.99796449,21.7234,1.725435512,,7.942750729,,
316.8821096,19.99013622,20.63662,0.64648378,,3.132701865,,
317.3216132,19.99950697,20.01185,0.012343027,,0.061678592,,
317.3216132,20.01737527,22.66158,2.644204733,,11.6682276,,
317.8490176,20.00709899,22.02314,2.016041015,,9.154194247,,
317.9369183,20.02721347,24.20588,4.178666526,,17.26302256,,
318.9038263,20.02444902,20.63662,0.612170984,,2.966430472,,
319.3433299,20.03262696,20.01185,0.020776959,,0.103715597,,
319.3433299,20.04667771,23.58118,3.534502285,,14.98865742,,
319.8707342,20.05493723,22.02314,1.968202772,,8.936976164,,
320.4860393,20.04667771,22.02314,1.976462285,,8.974479957,,
320.4860393,20.0667525,25.33644,5.269687503,,20.79884744,,
321.9803516,20.07871985,22.66158,2.58286015,,11.39752899,,
323.0351603,20.07788081,20.63662,0.558739188,,2.707513089,,
323.2988625,20.09015557,23.58118,3.491024426,,14.80428217,,
323.5625646,20.08270166,20.01185,0.070851664,,0.352799466,,
324.6173733,20.09074039,22.02314,1.932399611,,8.774405517,,
325.1447777,20.0939102,20.63662,0.542709798,,2.629838598,,
325.2326784,20.09915747,24.20588,4.106722529,,16.96580553,,
325.5842813,20.09648076,20.01185,0.084630758,,0.421122282,,
326.1116856,20.09814688,21.26849,1.170343124,,5.502709048,,
326.5511892,20.10017183,23.58118,3.481008169,,14.76180653,,
328.0455016,20.0997953,20.01185,0.087945296,,0.437543243,,
328.4850052,20.09874954,21.26849,1.169740464,,5.49987547,,
328.8366081,20.09716681,22.02314,1.925973186,,8.745225187,,
329.1003102,20.09550286,21.26849,1.172987143,,5.515140677,,
329.3640124,20.09401719,22.02314,1.929122809,,8.759526612,,
329.4519131,20.09232369,21.26849,1.176166306,,5.530088436,,
329.5398139,20.09171237,21.26849,1.176777632,,5.532962761,,
