angle,predicted_impedance,impedance
209.37952430196492,20.094017190934892,19.87391
209.46742502585323,20.094017190934892,20.21291
209.7311271975182,20.095952531488138,20.81046
209.99482936918312,18.88658469327379,20.21291
210.4343329886247,18.877137302875553,20.21291
210.78593588417797,18.563394421486237,20.21291
211.31334022750784,18.56358627446093,20.81046
211.84074457083773,18.56423914170273,nan
212.45604963805593,18.565005947841883,nan
213.07135470527413,18.566530170101032,nan
213.77456049638064,18.567964379029263,20.81046
214.30196483971054,18.570459906946553,nan
214.91726990692874,18.573351144097387,nan
216.41158221303007,18.57719894148363,nan
217.02688728024827,18.58152984741696,20.81046
217.55429162357817,18.58703425350791,nan
218.08169596690806,18.591527065673517,nan
218.60910031023795,18.597138485555888,nan
219.13650465356784,18.612270149014194,20.81046
219.6639089968977,18.61905719030051,nan
220.2792140641159,18.625105873835537,nan
220.8945191313341,18.631352813311196,nan
221.59772492244062,18.637784056923692,20.81046
222.21302998965882,18.644386057944075,nan
222.82833505687702,18.651145670179403,nan
223.44364012409523,18.659214099147675,nan
224.23474663909008,18.66746014177238,20.81046
224.85005170630828,18.677077516664895,nan
225.37745604963814,18.685641559529586,nan
226.08066184074468,18.694326307432448,nan
226.7838676318512,18.703115085015952,20.81046
227.4870734229577,18.714542127525192,20.21291
228.1023784901759,18.723509670131307,nan
228.7176835573941,18.731239594562567,nan
229.42088934850062,18.74159270371524,nan
230.12409513960714,18.751980912171575,20.21291
230.65149948293703,18.762385476373083,nan
231.35470527404354,18.771488946022373,nan
231.97001034126174,18.78058015488591,20.81046
232.67321613236825,18.790941490965224,20.21291
233.20062047569814,18.801258019704846,nan
233.99172699069297,18.80895757510666,nan
234.60703205791117,18.8191626621026,nan
235.398138572906,18.828026121274206,20.21291
236.1013443640125,18.838070080371153,nan
236.7166494312307,18.845536946146012,nan
237.3319544984489,18.85662109221653,nan
238.03516028955542,18.865138513054035,20.21291
238.5625646328853,18.875946720346064,nan
239.1778697001035,18.885411399276336,nan
239.79317476732172,18.89357751605371,nan
240.58428128231654,18.901631797163418,20.81046
241.19958634953474,18.910695401417115,nan
241.72699069286463,18.917391676675607,20.21291
242.43019648397114,18.92509178182877,nan
243.22130299896597,18.93266904510324,nan
243.74870734229586,18.942228054720317,nan
244.45191313340237,18.949518812720953,20.21291
245.24301964839722,18.955667034853604,nan
245.94622543950373,18.96371915456325,nan
246.4736297828336,18.97257896310998,nan
247.0889348500518,18.97836889106179,20.21291
247.70423991727,18.98594459261517,nan
248.49534643226485,18.994272174248863,nan
249.02275077559472,19.001503503079448,nan
249.72595656670126,19.006823118542115,20.21291
250.34126163391946,19.012918799274075,nan
251.04446742502597,19.01889777260135,nan
251.57187176835583,19.0264179517269,19.64342
252.36297828335069,19.031329898022477,20.21291
252.9782833505689,19.03775698569939,nan
253.6814891416754,19.043269988680322,nan
254.3846949327819,19.04944919408922,nan
254.9120992761118,19.054002133877248,20.54627
255.61530506721832,19.06070712920223,20.21291
256.3185108583248,19.06582434608913,nan
256.933815925543,19.071574488636315,nan
257.54912099276123,19.077227103506402,19.64342
258.2523267838677,19.08140719753078,20.21291
258.95553257497426,19.086907898015625,nan
259.5708376421925,19.092332990955356,nan
260.18614270941066,19.097024576077956,nan
260.8893485005172,19.10167057387548,20.21291
261.5925542916237,19.1069320998065,nan
262.1199586349536,19.112150921045895,nan
262.7352637021718,19.116689623554294,nan
263.4384694932783,19.121209004649927,20.21291
264.1416752843848,19.126358543635206,nan
264.75698035160303,19.13150083164487,nan
265.3722854188212,19.13535865429799,nan
265.98759048603944,19.13986676339823,20.21291
266.77869700103423,19.145036657611627,19.87391
267.4819027921408,19.15023504396754,nan
268.00930713547064,19.154814857736483,nan
268.8004136504655,19.159430840816412,20.21291
269.5915201654603,19.1640897015875,nan
270.1189245087902,19.170153450871794,nan
270.7342295760084,19.175623728167693,nan
271.4374353671149,19.179782259182275,20.21291
272.1406411582214,19.186119729357188,nan
272.75594622543963,19.192589164660376,19.64342
273.2833505687695,19.196982229694868,nan
273.8986556359877,19.202194688852387,20.21291
274.6018614270942,19.208274512733396,nan
275.30506721820075,19.214494120642257,nan
275.9203722854189,19.220058091867713,19.64342
276.53567735263715,19.22492245369699,20.21291
277.32678386763195,19.23071383031197,19.87391
277.9420889348502,19.23749288582235,nan
278.55739400206835,19.244450923538125,nan
279.2605997931749,19.25069235632668,20.21291
279.96380558428143,19.257082192032385,nan
280.5791106514996,19.2655238329869,nan
281.1944157187178,19.272271468382087,19.64342
281.809720785936,19.279183322174276,20.21291
282.4250258531542,19.287289277135415,nan
283.21613236814903,19.29562162346224,nan
283.7435367114789,19.303102703190916,19.64342
284.2709410548088,19.3107651794478,20.21291
284.886246122027,19.318612423854347,nan
285.76525336091015,19.32664754648681,nan
286.3805584281284,19.33725902054971,nan
287.08376421923487,19.344511143608315,20.21291
287.7869700103414,19.351907153924685,nan
288.31437435367127,19.360719313766594,nan
289.0175801447778,19.373653937179142,nan
289.632885211996,19.38295200295738,19.64342
290.3360910031025,19.393825527938816,nan
291.1271975180973,19.404963375171747,nan
291.65460186142724,19.413490318451068,nan
292.2699069286454,19.425090645446062,19.33184
292.88521199586364,19.435456835825562,20.21291
293.76421923474675,19.44754921552135,19.64342
294.379524301965,19.461463176013922,nan
294.99482936918315,19.470919542832917,nan
295.6980351602897,19.482132017383947,nan
296.9286452947261,19.493535663210196,19.64342
297.28024819027934,19.510151601695497,19.33184
297.7197518097209,19.52200495183729,nan
298.1592554291625,19.5340363212988,nan
298.9503619441573,19.5479981770402,19.64342
299.4777662874872,19.572950936733605,nan
300.0930713547054,19.58019619945094,nan
300.7962771458119,19.589321870729464,nan
301.4994829369184,19.598521872615265,19.64342
302.20268872802495,19.615260342357715,nan
302.90589451913144,19.626539727765476,nan
303.609100310238,19.639812378947454,nan
304.2244053774562,19.65511934932033,19.64342
304.8397104446744,19.670559756104694,nan
305.45501551189255,19.686118033385128,nan
306.0703205791108,19.70177761357786,19.33184
306.86142709410564,19.717520908237702,19.64342
307.4767321613238,19.731350344465454,nan
308.0041365046537,19.74521648365021,20.21291
308.7073422957602,19.759105550677987,nan
309.41054808686675,19.77300312973034,19.33184
310.11375387797324,19.790859630551267,nan
310.72905894519147,19.80471902578006,19.64342
311.43226473629795,19.816564541917387,nan
312.2233712512928,19.832290079468066,19.100540000000002
312.75077559462267,19.847912765744468,19.33184
313.3660806618409,19.86340465717126,19.64342
313.98138572905907,19.87682987488347,nan
314.7724922440539,19.891996954029082,nan
315.2998965873838,19.908797740232103,nan
315.915201654602,19.919821960363834,19.64342
316.6184074457085,19.93248314205607,nan
317.23371251292673,19.944906061222127,nan
317.9369183040332,19.96048907287127,19.33184
318.64012409513975,19.970610198808345,19.64342
319.2554291623579,19.98212235643382,nan
320.1344364012411,19.99485610331226,nan
320.57394002068264,20.00559691678768,nan
321.2771458117892,20.017375267417947,19.64342
321.89245087900736,20.02858140972762,19.33184
322.5956566701139,20.037881692045403,nan
323.21096173733207,20.050285112669144,nan
323.9141675284386,20.056071440590813,19.64342
324.5294725956568,20.0647148380192,19.33184
325.144777662875,20.07162219309771,nan
325.93588417786987,20.078719849503386,19.100540000000002
326.55118924508804,20.084192800504525,19.64342
